DOI,Título,Autores,Año,Citas,Revista
10.1007/s40747-021-00410-0,Hybrid evolutionary optimization for takeaway order selection and delivery path planning utilizing habit data,Min-Xia Zhang and Jia-Yu Wu and Xue Wu and Yu-Jun Zheng,2022,5,Complex &amp; Intelligent Systems
10.1007/s40747-020-00234-4,Solving fuzzy multi-objective shortest path problem based on data envelopment analysis approach,M. Bagheri and Ali Ebrahimnejad and S. Razavyan and F. Hosseinzadeh Lotfi and N. Malekmohammadi,2021,12,Complex &amp; Intelligent Systems
10.1007/s40747-022-00885-5,Retraction Note: Extentions of neutrosophic cubic sets via complex fuzzy sets with application,Muhammad Gulistan and Salma Khan,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00474-y,A federated approach for detecting the chest diseases using DenseNet for multi-label classification,K. V. Priya and J. Dinesh Peter,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00685-x,The development trend of China’s aging population: a forecast perspective,Xuchong Liu and Jianian Zhu and Kai Zou,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00166-z,An estimation of distribution algorithm with branch-and-bound based knowledge for robotic assembly line balancing,Bin-qi Sun and Ling Wang,2021,6,Complex &amp; Intelligent Systems
10.1007/s40747-021-00371-4,O-WCNN: an optimized integration of spatial and spectral feature map for arrhythmia classification,Manisha Jangra and Sanjeev Kumar Dhull and Krishna Kant Singh and Akansha Singh and Xiaochun Cheng,2021,4,Complex &amp; Intelligent Systems
10.1007/s40747-020-00216-6,A novel hand-crafted with deep learning features based fusion model for COVID-19 diagnosis and classification using chest X-ray images,K. Shankar and Eswaran Perumal,2021,42,Complex &amp; Intelligent Systems
10.1007/s40747-021-00523-6,A generalized TODIM-ELECTRE II method based on linguistic Z-numbers and Dempster–Shafer evidence theory with unknown weight information,Zhengmin Liu and Yawen Bi and Xinya Wang and Linbin Sha and Peide Liu,2022,4,Complex &amp; Intelligent Systems
10.1007/s40747-020-00204-w,Some aggregation operators of neutrosophic Z-numbers and their multicriteria decision making method,Shigui Du and Jun Ye and Rui Yong and Fangwei Zhang,2021,14,Complex &amp; Intelligent Systems
10.1007/s40747-020-00197-6,Generalized complex q-rung orthopair fuzzy Einstein averaging aggregation operators and their application in multi-attribute decision making,Peide Liu and Zeeshan Ali and Tahir Mahmood,2021,14,Complex &amp; Intelligent Systems
10.1007/s40747-020-00251-3,Multi-objective fully intuitionistic fuzzy fixed-charge solid transportation problem,Shyamali Ghosh and Sankar Kumar Roy and Ali Ebrahimnejad and José Luis Verdegay,2021,43,Complex &amp; Intelligent Systems
10.1007/s40747-021-00283-3,Cohort intelligence with self-adaptive penalty function approach hybridized with colliding bodies optimization algorithm for discrete and mixed variable constrained problems,Ishaan R. Kale and Anand J. Kulkarni,2021,7,Complex &amp; Intelligent Systems
10.1007/s40747-017-0046-8,Analysis of variance in uncertain environments,A. Parchami and M. Nourbakhsh and M. Mashinchi,2017,22,Complex &amp; Intelligent Systems
10.1007/s40747-021-00579-4,A multi-modal and multi-scale emotion-enhanced inference model based on fuzzy recognition,Yan Yu and Dong Qiu and Ruiteng Yan,2022,3,Complex &amp; Intelligent Systems
10.1007/s40747-023-00966-z,Inpainting larger missing regions via progressive guidance decoding network,Xiucheng Dong and Jinyang Jiang and Shuang Hou and Chencheng Yang,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00890-8,Intelligent power management based on multi-objective cost function for plug-in biogas hybrid vehicles under uncertain driving conditions,Sameh Abd-Elhaleem and Walaa Shoeib and Abdel Azim Sobaih,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00679-9,Eigenvalue-based entropy and spectrum of bipartite digraph,Yan Sun and Haixing Zhao,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-017-0038-8,An evolutionary hybrid method to predict pistachio price,Azim Heydari and Farshid Keynia and Nasser Shahsavari-Pour and Reza Sedaghat,2017,1,Complex &amp; Intelligent Systems
10.1007/s40747-016-0020-x,Run-time architectural modeling for future internet applications,Marina Mongiello and Simona Colucci and Elvis Vogli and Luigi Alfredo Grieco and Massimo Sciancalepore,2016,5,Complex &amp; Intelligent Systems
10.1007/s40747-021-00330-z,A tractor-trailer parking control scheme using adaptive dynamic programming,Chenyong Guan and Yu Jiang,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00385-y,Quantity decisions of two-stage competitive location model based on different location modes,Yadong Li and Xuemei Li,2021,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00388-9,Knowledge organization of node enterprises’ technological innovation under supply chain environment,Qianqian Zhang and Shifeng Liu and Qun Tu,2021,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00359-0,Compensator-critic structure-based event-triggered decentralized tracking control of modular robot manipulators: theory and experimental verification,Bing Ma and Yuanchun Li,2022,6,Complex &amp; Intelligent Systems
10.1007/s40747-021-00547-y,An optimal nuclei segmentation method based on enhanced multi-objective GWO,Ravi Sharma and Kapil Sharma,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00556-x,Low-power AES S-box design using dual-basis tower field extension method for cyber security applications,V. Nandan and R. Gowri Shankar Rao,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00925-0,A multiscale convolution neural network for bearing fault diagnosis based on frequency division denoising under complex noise conditions,Youming Wang and Gongqing Cao,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-016-0012-x,A state equation for the Schelling’s segregation model,Jae Kyun Shin and Hiroki Sayama and Seung Ryul Choi,2016,3,Complex &amp; Intelligent Systems
10.1007/s40747-022-00763-0,Online group streaming feature selection using entropy-based uncertainty measures for fuzzy neighborhood rough sets,Jiucheng Xu and Yuanhao Sun and Kanglin Qu and Xiangru Meng and Qinchen Hou,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00866-8,"Deep learned vectors’ formation using auto-correlation, scaling, and derivations with CNN for complex and huge image retrieval",Ahmad Naeem and Tayyaba Anees and Khawaja Tehseen Ahmed and Rizwan Ali Naqvi and Shabir Ahmad and Taegkeun Whangbo,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-021-00613-5,Knowledge representation for explainable artificial intelligence,Joaquín Borrego-Díaz and Juan Galán Páez,2022,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00502-x,An integrated fuzzy model for evaluation and selection of mobile banking (m-banking) applications using new fuzzy-BWM and fuzzy-TOPSIS,Pranith Kumar Roy and Krishnendu Shaw,2022,8,Complex &amp; Intelligent Systems
10.1007/s40747-021-00607-3,Fuzzy association rule mining approach to identify e-commerce product association considering sales amount,Onur Dogan and Furkan Can Kem and Basar Oztaysi,2022,5,Complex &amp; Intelligent Systems
10.1007/s40747-021-00357-2,A genre trust model for defending shilling attacks in recommender systems,Li Yang and Xinxin Niu,2021,3,Complex &amp; Intelligent Systems
10.1007/s40747-020-00157-0,Segmenting the manufacturing industries and measuring the performance: using interval-valued triangular fuzzy TOPSIS method,M. Prabhu and Nabaz Nawzad Abdullah and Ramyar Rzgar Ahmed and T. Nambirajan and Sanjeevi Pandiyan,2020,10,Complex &amp; Intelligent Systems
10.1007/s40747-021-00490-y,Correction to: A weighted least squares optimisation strategy for medical image super resolution via multiscale convolutional neural networks for healthcare applications,Bhawna Goyal and Dawa Chyophel Lepcha and Ayush Dogra and Shui-Hua Wang,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00411-z,Two view NURBS reconstruction based on GACO model,Deepika Saini and Sanoj Kumar and Manoj K. Singh and Musrrat Ali,2021,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00849-9,Unexpected interest recommender system with graph neural network,Hongbin Xia and Kai Huang and Yuan Liu,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00846-y,A fast and efficient algorithm for DNA sequence similarity identification,Machbah Uddin and Mohammad Khairul Islam and Md. Rakib Hassan and Farah Jahan and Joong Hwan Baek,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-020-00185-w,"Forecasting mortality rates using hybrid Lee–Carter model, artificial neural network and random forest",Wei Hong Hong and Jia Hui Yap and Ganeshsree Selvachandran and Pham Huy Thong and Le Hoang Son,2021,13,Complex &amp; Intelligent Systems
10.1007/s40747-021-00338-5,A novel sEMG-based force estimation method using deep-learning algorithm,Shaoyang Hua and Congqing Wang and Xuewei Wu,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-020-00168-x,Presenting a new fuzzy system for web service selection aimed at dynamic software rejuvenation,Kimia Rezaei Kalantari and Ali Ebrahimnejad and Homayun Motameni,2020,4,Complex &amp; Intelligent Systems
10.1007/s40747-021-00489-5,A noise-based privacy preserving model for Internet of Things,Shelendra Kumar Jain and Nishtha Kesswani,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-020-00140-9,A force levels and gestures integrated multi-task strategy for neural decoding,Shaoyang Hua and Congqing Wang and Zuoshu Xie and Xuewei Wu,2020,6,Complex &amp; Intelligent Systems
10.1007/s40747-021-00578-5,SHANN: an IoT and machine-learning-assisted edge cross-layered routing protocol using spotted hyena optimizer,Gaurav Dhiman and Rohit Sharma,2022,5,Complex &amp; Intelligent Systems
10.1007/s40747-022-00706-9,A knee point-driven many-objective pigeon-inspired optimization algorithm,Lihong Zhao and Yeqing Ren and Youqian Zeng and Zhihua Cui and Wensheng Zhang,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00603-7,Distributed ledger technologies in vehicular mobile edge computing: a survey,Ming Jiang and Xingsheng Qin,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00142-7,Recommendation decision-making algorithm for sharing accommodation using probabilistic hesitant fuzzy sets and bipartite network projection,Qian Cao and Xiaodi Liu and Zengwen Wang and Shitao Zhang and Jian Wu,2020,8,Complex &amp; Intelligent Systems
10.1007/s40747-021-00381-2,Lane detection under artificial colored light in tunnels and on highways: an IoT-based framework for smart city infrastructure,Safwan Ghanem and Priyadarshi Kanungo and Ganapati Panda and Suresh Chandra Satapathy and Rohit Sharma,2021,19,Complex &amp; Intelligent Systems
10.1007/s40747-021-00276-2,Period-doubling bifurcation analysis and chaos control for load torque using FLC,Eman Moustafa and Abdel-Azem Sobaih and Belal Abozalam and Amged Sayed A. Mahmoud,2021,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00471-1,IHWC: intelligent hidden web crawler for harvesting data in urban domains,Sawroop Kaur and Aman Singh and G. Geetha and Xiaochun Cheng,2021,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00633-1,Hybrid attention network with appraiser-guided loss for counterfeit luxury handbag detection,Jianbiao Peng and Beiji Zou and Xiaoyu He and Chengzhang Zhu,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00870-y,A novel dynamic reference point model for preference-based evolutionary multiobjective optimization,Xin Lin and Wenjian Luo and Naijie Gu and Qingfu Zhang,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00286-0,Representation and application of Fuzzy soft sets in type-2 environment,Biplab Paik and Shyamal Kumar Mondal,2021,8,Complex &amp; Intelligent Systems
10.1007/s40747-022-00655-3,Convergence and gradient algorithm of a class of neural networks based on the polygonal fuzzy numbers representation,Gang Sun and Mingxin Wang and Xiaoping Li,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00147-2,Multi-turn dialogue-oriented pretrained question generation model,Yanmeng Wang and Wenge Rong and Jianfei Zhang and Shijie Zhou and Zhang Xiong,2020,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00898-0,Enriched entity representation of knowledge graph for text generation,Kaile Shi and Xiaoyan Cai and Libin Yang and Jintao Zhao,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00169-w,Optimal subset selection for causal inference using machine learning ensembles and particle swarm optimization,Dhruv Sharma and Christopher Willy and John Bischoff,2021,4,Complex &amp; Intelligent Systems
10.1007/s40747-020-00212-w,Artificial intelligence in recommender systems,Qian Zhang and Jie Lu and Yaochu Jin,2021,58,Complex &amp; Intelligent Systems
10.1007/s40747-022-00809-3,Multi-layer stacking ensemble learners for low footprint network intrusion detection,Saeed Shafieian and Mohammad Zulkernine,2022,4,Complex &amp; Intelligent Systems
10.1007/s40747-022-00716-7,Multi-colony ant optimization with dynamic collaborative mechanism and cooperative game,Yadong Mo and Xiaoming You and Sheng Liu,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00407-9,Multi-criteria healthcare waste disposal location selection based on Fermatean fuzzy WASPAS method,Arunodaya Raj Mishra and Pratibha Rani,2021,31,Complex &amp; Intelligent Systems
10.1007/s40747-022-00922-3,Efficient combination graph model based on conditional random field for online multi-object tracking,Junwen Zhang and Xiaolong Zhang and Ziqi Zhu and Chunhua Deng,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-019-00119-1,Evaluating the sustainability of a smart technology application to mobile health care: the FGM–ACO–FWA approach,Tin-Chih Toly Chen,2020,12,Complex &amp; Intelligent Systems
10.1007/s40747-020-00186-9,Machine learning model-based two-dimensional matrix computation model for human motion and dance recovery,Yi Zhang and Mengni Zhang,2021,4,Complex &amp; Intelligent Systems
10.1007/s40747-021-00334-9,Sliding-mode observers based distributed consensus control for nonlinear multi-agent systems with disturbances,Yulian Jiang and Yuhang Zhang and Hongquan Wang and Keping Liu,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00701-0,Uncertainty as a Swiss army knife: new adversarial attack and defense ideas based on epistemic uncertainty,Omer Faruk Tuna and Ferhat Ozgur Catak and M. Taner Eskil,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00877-5,A global relative similarity for inferring interactions of multi-agent systems,Kongjing Gu and Xiaojun Duan and Mingze Qi and Liang Yan,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00630-4,CARNet: Cascade attentive RefineNet for multi-lesion segmentation of diabetic retinopathy images,Yanfei Guo and Yanjun Peng,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00952-x,A hybrid temporal convolutional network and Prophet model for power load forecasting,Jinyuan Mo and Rui Wang and Mengda Cao and Kang Yang and Xu Yang and Tao Zhang,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00240-6,Genetic programming with separability detection for symbolic regression,Wei-Li Liu and Jiaquan Yang and Jinghui Zhong and Shibin Wang,2021,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00486-8,A hybrid deep kernel incremental extreme learning machine based on improved coyote and beetle swarm optimization methods,Di Wu and Ting Li and Qin Wan,2021,2,Complex &amp; Intelligent Systems
10.1007/s40747-023-00979-8,RaiseAuth: a novel bio-behavioral authentication method based on ultra-low-complexity movement,Shuo Zhao and Zhongwen Guo and Xu Cheng and Sining Jiang and Hao Wang,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00501-y,Neutrosophic entropy measures for the Weibull distribution: theory and applications,Rehan Ahmad Khan Sherwani and Tooba Arshad and Mohammed Albassam and Muhammad Aslam and Shumaila Abbas,2021,2,Complex &amp; Intelligent Systems
10.1007/s40747-020-00151-6,Triangular interval type-2 fuzzy soft set and its application,M. Lathamaheswari and D. Nagarajan and J. Kavikumar and Said Broumi,2020,8,Complex &amp; Intelligent Systems
10.1007/s40747-022-00920-5,Dynamic modeling and infinite-dimensional observer-based control for manipulation of flexible beam by a multi-link robot,Shuyang Liu and Yuanchun Li,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-021-00344-7,Mutual learning-based efficient synchronization of neural networks to exchange the neural key,Arindam Sarkar,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-023-00989-6,A visually meaningful double-image encryption scheme using 2D compressive sensing and multi-rule DNA encoding,Dongming Huo and Yueyou Qiu and Chao Han and Lisheng Wei and Yao Hong and Zhilong Zhu and Xin Zhou,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00745-2,Deep multi-layer perceptron-based evolutionary algorithm for dynamic multiobjective optimization,Zhen Zhu and Yanpeng Yang and Dongqing Wang and Xiang Tian and Long Chen and Xiaodong Sun and Yingfeng Cai,2022,0,Complex &amp; Intelligent Systems
10.1007/s40747-020-00202-y,Applying catastrophe progression method to evaluate the service quality of cold chain logistics,Hao Zhang and Yuxin Shi and Bin Qiu,2020,5,Complex &amp; Intelligent Systems
10.1007/s40747-022-00759-w,Machine learning-based framework to cover optimal Pareto-front in many-objective optimization,Azam Asilian Bidgoli and Shahryar Rahnamayan and Bilgehan Erdem and Zekiye Erdem and Amin Ibrahim and Kalyanmoy Deb and Ali Grami,2022,1,Complex &amp; Intelligent Systems
10.1007/s40747-021-00506-7,A federated data-driven evolutionary algorithm for expensive multi-/many-objective optimization,Jinjin Xu and Yaochu Jin and Wenli Du,2021,5,Complex &amp; Intelligent Systems
10.1007/s40747-021-00309-w,Data hiding in encryption–compression domain,O. P. Singh and A. K. Singh,2021,9,Complex &amp; Intelligent Systems
10.1007/s40747-021-00296-y,SRPM–CNN: a combined model based on slide relative position matrix and CNN for time series classification,Taoying Li and Yuqi Zhang and Ting Wang,2021,6,Complex &amp; Intelligent Systems
10.1007/s40747-021-00591-8,Continuous self-adaptive optimization to learn multi-task multi-agent,Wenqian Liang and Ji Wang and Weidong Bao and Xiaomin Zhu and Qingyong Wang and Beibei Han,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-021-00305-0,Three factor authentication system with modified ECC based secured data transfer: untrusted cloud environment,Dilip Venkata Kumar Vengala and D. Kavitha and A. P. Siva Kumar,2021,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00535-2,An approach to optimize the cost of transportation problem based on triangular fuzzy programming problem,Sapan Kumar Das,2022,3,Complex &amp; Intelligent Systems
10.1007/s40747-022-00837-z,Multi-view 3D human pose reconstruction based on spatial confidence point group for jump analysis in figure skating,Limao Tian and Xina Cheng and Masaaki Honda and Takeshi Ikenaga,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00830-6,Improved NSGA-II for energy-efficient distributed no-wait flow-shop with sequence-dependent setup time,Qing-qing Zeng and Jun-qing Li and Rong-hao Li and Ti-hao Huang and Yu-yan Han and Hong-yan Sang,2023,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00808-4,A human learning optimization algorithm with competitive and cooperative learning,JiaoJie Du and Ling Wang and Minrui Fei and Muhammad Ilyas Menhas,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00803-9,An MPA-based optimized grey Bernoulli model for China’s petroleum consumption forecasting,Wen-Ze Wu and Zhiming Hu and Qin Qi and Tao Zhang,2023,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00810-w,Coevolutionary opinion dynamics with sparse interactions in open-ended societies,Honglin Bao and Zachary P Neal and Wolfgang Banzhaf,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00782-x,Imperceptible black-box waveform-level adversarial attack towards automatic speaker recognition,Xingyu Zhang and Xiongwei Zhang and Meng Sun and Xia Zou and Kejiang Chen and Nenghai Yu,2023,1,Complex &amp; Intelligent Systems
10.1007/s40747-022-00787-6,Generative knowledge-based transfer learning for few-shot health condition estimation,Weijie Kang and Jiyang Xiao and Junjie Xue,2023,0,Complex &amp; Intelligent Systems
10.1007/s40747-022-00784-9,A baseline-reactive scheduling method for carrier-based aircraft maintenance tasks,Yong Zhang and Changjiu Li and Xichao Su and Rongwei Cui and Bing Wan,2023,2,Complex &amp; Intelligent Systems
10.1007/s40747-021-00390-1,Decision support model with Pythagorean fuzzy preference relations and its application in financial early warnings,Wenying Wu and Zhiwei Ni and Feifei Jin and Ying Li and Juan Song,2022,4,Complex &amp; Intelligent Systems
10.1007/s40747-021-00355-4,A two-agent one-machine multitasking scheduling problem solving by exact and metaheuristics,Chin-Chia Wu and Ameni Azzouz and Jia-Yang Chen and Jianyou Xu and Wei-Lun Shen and Lingfa Lu and Lamjed Ben Said and Win-Chin Lin,2022,3,Complex &amp; Intelligent Systems
10.1007/s40747-021-00290-4,Optimization-driven distribution of relief materials in emergency disasters,Yan Yan and Xinyue Di and Yuanyuan Zhang,2021,2,Complex &amp; Intelligent Systems
10.1007/s40747-021-00560-1,PROUD-MAL: static analysis-based progressive framework for deep unsupervised malware classification of windows portable executable,Syed Khurram Jah Rizvi and Warda Aslam and Muhammad Shahzad and Shahzad Saleem and Muhammad Moazam Fraz,2022,4,Complex &amp; Intelligent Systems
10.1007/s40747-018-0072-1,Risk prediction in life insurance industry using supervised learning algorithms,Noorhannah Boodhun and Manoj Jayabalan,2018,38,Complex &amp; Intelligent Systems
10.1007/s40747-021-00293-1,Data-driven optimization for last-mile delivery,Hongrui Chu and Wensi Zhang and Pengfei Bai and Yahong Chen,2021,9,Complex &amp; Intelligent Systems
10.1007/s40747-017-0036-x,Genetic programming for production scheduling: a survey with a unified framework,Su Nguyen and Yi Mei and Mengjie Zhang,2017,135,Complex &amp; Intelligent Systems
10.1007/s40747-018-0087-7,AHP–TOPSIS integration extended with Pythagorean fuzzy sets for information security risk analysis,M. Fatih Ak and Muhammet Gul,2019,77,Complex &amp; Intelligent Systems
10.1007/s40747-022-00719-4,Modeling stochastic service time for complex on-demand food delivery,Jie Zheng and Ling Wang and Shengyao Wang and Jing-fang Chen and Xing Wang and Haining Duan and Yile Liang and Xuetao Ding,2022,2,Complex &amp; Intelligent Systems
10.1007/s40747-022-00760-3,Cloud-based email phishing attack using machine and deep learning algorithm,Umer Ahmed Butt and Rashid Amin and Hamza Aldabbas and Senthilkumar Mohan and Bader Alouffi and Ali Ahmadian,2022,3,Complex &amp; Intelligent Systems
